githubId,githubUsername,commits
171436,tom-kuca,1
171470,samhug,7
172697,naveensrinivasan,1
173595,alerque,45
174156,timor,1
174161,soebbing,1
175462,zah,1
176295,jonhoo,3
178226,tomjnixon,4
178444,tomberek,164
178496,pmiddend,22
179548,yvesf,10
179775,polynomial,7
180068,coderofsalvation,2
181076,zvictor,2
181535,zombiezen,15
182024,larsr,8
183276,toelke,3
183277,agj,2
183649,lenage,1
183879,flokli,363
183976,skrobul,1
184563,brpaz,2
184797,mklca,5
185075,aecay,2
185304,YarekTyshchenko,4
185443,binarin,3
186027,Tarinaky,2
186170,mmisono,2
186660,hellwolf,85
187831,keegancsmith,7
188063,viraptor,267
190443,iNecas,2
191622,meatcar,1
191825,miniBill,5
192147,aszlig,35
192395,fusion2004,1
192939,mayl,7
193443,singron,1
195661,juliens,1
196617,attilaolah,10
196982,bmillwood,25
199624,obi12341,1
201615,fangpenlin,17
202178,atopuzov,6
202474,ctron,6
202798,delroth,167
203168,fehrenbach,8
203195,Szczyp,1
203584,hhomar,1
203691,rebeccaskinner,1
204321,Narsil,1
205592,interru,1
205673,bobrippling,9
205880,alsvartr,4
206242,herrwiese,11
206357,honza,2
206872,eddsteel,6
207073,Lillecarl,7
207166,jonathan-conder,2
207369,jfroche,31
207988,loganlinn,1
208010,tpwrules,103
208228,jcszymansk,1
208297,Luz,10
208500,jcmuller,2
209175,alesya-h,6
209729,kevingriffin,2
212597,seberm,18
213619,h3ndrik,2
214787,bendlas,71
215011,sgrimee,6
216188,jdx,1
217050,albertchae,21
217543,DamienCassou,135
217899,cyplo,11
217918,considerate,7
218024,justinkb,4
219155,occ,2
219362,srhb,39
220084,anthonyroussel,965
220211,renatoGarcia,2
220623,bpresles,3
221929,jbgi,25
222375,Mayeu,1
222412,nifoc,2
222664,hexagonal-sun,42
222683,SolidRhino,5
223048,simonswine,1
223288,martiert,4
223323,mgdelacroix,14
223408,vamega,12
223651,mannahusum,1
223664,blin,1
223910,dbalan,18
224042,RonjaPonja,1
224216,nanzhong,1
224922,swsnr,1
225893,falsifian,1
226650,trofi,2641
226872,samuela,353
227236,jaen,6
227442,rex4539,1
228866,carbolymer,1
228931,priegger,23
230233,darix,1
230338,gcurtis,2
230381,vq,3
230613,Munksgaard,23
230930,cryo28,1
231483,endgame,21
231523,happyalu,6
233979,bam80,5
235202,garymh,1
236070,yihuang,6
236293,fiq,4
236394,qbg,5
236582,mattsawyer77,1
237493,razielgn,1
237543,hmac,4
238528,smancill,128
238853,gmacon,19
239458,poulter7,1
239520,lostmsu,3
241257,mdr,2
241621,theduke,2
243976,dinkypumpkin,1
244239,collares,232
244909,cdombroski,8
245435,caarlos0,29
245573,veprbl,1334
246230,thatsmydoing,2
246386,ntninja,7
246631,presto8,7
246745,lukegb,665
247162,paulperegud,3
247849,jalaziz,1
248016,rapenne-s,78
248143,misuzu,246
248148,ftrvxmtrx,1
249317,montag451,1
252042,drupol,1400
252949,cnf,1
253208,dsx,2
254443,mrene,23
254565,exarkun,18
254799,simonkampe,8
255667,returntoreality,33
255802,liaowang11,1
262503,mlen,2
264372,koozz,2
264788,somasis,41
265084,lovek323,2
265220,dhl,1
265800,ngiger,10
266640,johanjanssens,1
270117,twoolie,1
271079,sfermigier,2
271099,ChrisPWill,2
271734,erichelgeson,7
273509,terinjokes,4
273533,lhanson,3
273582,greg-hellings,42
274667,arthuraa,7
276043,flosse,1
277161,quodlibetor,2
277474,jfly,119
